Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method
2018-05-16,22:06:09,7.0,41370,Male,Web,Member,Fashion,Titak watch,228.0,5.0,0.3,113.8,11.4,High,credit_card
2018-09-01,22:45:22,4.0,21032,Female,Web,Member,Fashion,Fossil Watch,159.0,5.0,0.4,63.1,6.3,Medium,credit_card
2018-07-24,20:12:30,2.0,47407,Male,Web,Member,Fashion,T - Shirts,248.0,1.0,0.5,155.6,15.6,Critical,credit_card
2018-05-28,22:42:02,9.0,31347,Male,Web,Member,Fashion,Shirts,196.0,2.0,0.5,112.1,11.2,Critical,credit_card
2018-08-15,10:50:46,9.0,19750,Male,Web,Member,Fashion,Jeans,218.0,4.0,0.5,129.3,12.9,Medium,credit_card
2018-07-24,11:54:43,5.0,43995,Male,Web,Member,Fashion,Suits,109.0,5.0,0.4,7.2,0.7,Medium,credit_card
2018-06-02,10:32:22,5.0,53074,Male,Web,Member,Fashion,Sports Wear,85.0,5.0,0.3,17.0,1.7,Medium,money_order
2018-10-30,09:20:39,8.0,42055,Male,Web,Member,Fashion,Casula Shoes,122.0,1.0,0.5,35.9,3.6,Medium,credit_card
2018-12-23,17:45:48,7.0,11460,Male,Web,Member,Fashion,Running Shoes,224.0,1.0,0.4,135.0,13.5,Medium,money_order
2018-01-09,15:29:20,4.0,31727,Male,Web,Member,Fashion,Formal Shoes,213.0,4.0,0.4,116.0,11.6,Critical,credit_card
2018-06-30,14:47:47,3.0,57244,Male,Web,Member,Fashion,Sneakers,62.0,4.0,0.4,15.5,1.6,Medium,credit_card
2018-03-26,11:05:29,6.0,40023,Female,Web,Member,Fashion,Titak watch,228.0,1.0,0.5,141.2,14.1,High,credit_card
2018-05-06,17:54:59,3.0,33754,Female,Web,Member,Fashion,Fossil Watch,159.0,5.0,0.4,63.1,6.3,Critical,credit_card
2018-12-01,15:17:51,6.0,38656,Male,Web,Member,Fashion,T - Shirts,248.0,1.0,0.3,145.7,14.6,Critical,credit_card
2018-11-12,15:43:18,7.0,19598,Male,Web,Member,Fashion,Shirts,196.0,5.0,0.3,86.6,8.7,High,credit_card
2018-04-19,14:47:50,2.0,30998,Male,Web,Member,Fashion,Jeans,218.0,1.0,0.4,111.8,11.2,Medium,money_order
2018-01-24,09:32:14,3.0,31277,Male,Web,Member,Fashion,Suits,109.0,2.0,0.5,26.8,2.7,High,money_order
2018-11-04,08:01:02,2.0,23861,Male,Web,Member,Fashion,Sports Wear,85.0,1.0,0.4,28.3,2.8,Critical,credit_card
2018-04-29,23:50:48,7.0,41089,Male,Web,Member,Fashion,Casula Shoes,122.0,2.0,0.5,39.6,4.0,Critical,credit_card
2018-07-07,19:26:13,4.0,34598,Male,Web,Member,Fashion,Running Shoes,224.0,2.0,0.4,126.1,12.6,High,debit_card
2018-07-15,17:03:24,10.0,12166,Female,Web,Member,Fashion,Formal Shoes,213.0,5.0,0.5,79.8,8.0,High,credit_card
2018-10-04,23:03:35,10.0,48245,Female,Web,Guest,Fashion,Sneakers,62.0,4.0,0.5,15.5,1.6,Critical,credit_card
2018-10-11,12:23:40,6.0,45462,Male,Web,Member,Fashion,Titak watch,228.0,4.0,0.3,120.6,12.1,Medium,money_order
2018-04-07,20:44:38,8.0,13605,Male,Web,Member,Fashion,Fossil Watch,159.0,5.0,0.5,71.1,7.1,High,credit_card
2018-07-09,11:36:53,1.0,56548,Female,Web,Member,Fashion,T - Shirts,248.0,1.0,0.5,160.6,16.1,Medium,debit_card
2018-07-10,16:34:55,9.0,25767,Male,Web,Member,Fashion,Shirts,196.0,1.0,0.5,110.1,11.0,High,credit_card
2018-11-09,22:11:46,3.0,33504,Male,Web,Member,Fashion,Jeans,218.0,1.0,0.4,124.9,12.5,High,debit_card
2018-11-08,17:29:15,7.0,33154,Male,Web,Member,Fashion,Suits,109.0,1.0,0.5,23.6,2.4,High,credit_card
2018-05-15,08:21:10,10.0,58247,Male,Web,Member,Fashion,Sports Wear,85.0,1.0,0.3,28.3,2.8,Critical,credit_card
2018-05-04,11:48:49,1.0,44175,Male,Web,Member,Fashion,Casula Shoes,122.0,2.0,0.4,37.1,3.7,Medium,credit_card
2018-07-04,11:56:02,10.0,35425,Male,Web,Member,Fashion,Running Shoes,224.0,4.0,0.4,108.2,10.8,High,credit_card
2018-06-20,20:18:18,10.0,20050,Male,Web,Member,Fashion,Formal Shoes,213.0,1.0,0.5,126.6,12.7,Critical,e_wallet
2018-06-11,16:15:43,5.0,46114,Male,Web,Member,Fashion,Sneakers,62.0,4.0,0.3,15.5,1.6,Medium,credit_card
2018-12-16,13:05:40,2.0,16929,Male,Web,Member,Fashion,Titak watch,228.0,1.0,0.3,141.2,14.1,Medium,money_order
2018-10-23,16:12:48,10.0,49808,Male,Web,Member,Fashion,Fossil Watch,159.0,1.0,0.4,69.5,6.9,High,credit_card
2018-07-20,09:12:19,9.0,25059,Female,Web,First SignUp,Fashion,T - Shirts,248.0,4.0,0.5,158.1,15.8,Critical,credit_card
2018-09-29,11:36:05,6.0,11040,Male,Web,Member,Fashion,Shirts,196.0,1.0,0.4,92.5,9.2,High,credit_card
2018-09-16,18:19:59,9.0,34222,Male,Web,Member,Fashion,Jeans,218.0,4.0,0.3,111.8,11.2,High,credit_card
2018-11-16,15:53:48,3.0,50409,Male,Web,Member,Fashion,Suits,109.0,1.0,0.5,25.7,2.6,Critical,credit_card
2018-11-16,12:02:50,8.0,32596,Male,Web,Member,Fashion,Sports Wear,85.0,4.0,0.3,21.3,2.1,Medium,credit_card
2018-11-07,15:59:11,2.0,11466,Male,Web,Member,Fashion,Casula Shoes,122.0,1.0,0.5,35.9,3.6,Critical,credit_card
2018-07-01,14:01:27,1.0,27763,Male,Web,Member,Fashion,Running Shoes,224.0,2.0,0.5,139.5,14.0,Medium,money_order
2018-08-14,17:25:43,3.0,46794,Male,Web,Member,Fashion,Formal Shoes,213.0,1.0,0.4,128.7,12.9,High,money_order
2018-05-23,21:23:37,6.0,32632,Male,Web,Member,Fashion,Sneakers,62.0,1.0,0.4,62.0,6.2,Critical,money_order
2018-06-06,14:07:26,4.0,47631,Male,Web,Member,Fashion,Titak watch,228.0,2.0,0.4,138.9,13.9,Critical,credit_card
2018-12-27,09:59:19,4.0,15729,Male,Web,Member,Fashion,Fossil Watch,159.0,4.0,0.4,66.3,6.6,Critical,credit_card
2018-10-17,01:47:19,8.0,14694,Male,Web,Guest,Fashion,T - Shirts,248.0,5.0,0.5,106.0,10.6,High,credit_card
2018-05-04,06:41:25,3.0,31777,Male,Web,Member,Fashion,Shirts,196.0,4.0,0.3,92.5,9.2,High,credit_card
2018-12-21,11:22:23,4.0,30306,Male,Web,Member,Fashion,Jeans,218.0,5.0,0.3,105.3,10.5,Critical,money_order
2018-12-28,23:27:18,4.0,56575,Male,Web,Member,Fashion,Suits,109.0,1.0,0.5,25.7,2.6,Medium,money_order
2018-05-30,11:54:04,3.0,54419,Male,Web,Guest,Fashion,Sports Wear,85.0,2.0,0.4,1.6,0.2,High,credit_card
2018-06-10,18:29:58,5.0,11182,Male,Web,Member,Fashion,Casula Shoes,122.0,1.0,0.5,23.7,2.4,Critical,credit_card
2018-06-10,01:03:19,1.0,24307,Male,Web,Member,Fashion,Running Shoes,224.0,1.0,0.4,130.6,13.1,Medium,money_order
2018-08-17,12:50:20,10.0,19370,Male,Web,Member,Fashion,Formal Shoes,213.0,1.0,0.4,120.2,12.0,High,credit_card
2018-03-19,11:43:10,5.0,38507,Male,Web,Member,Fashion,Sneakers,62.0,5.0,0.4,12.4,1.2,Critical,credit_card
2018-07-04,21:19:44,8.0,14656,Male,Web,Member,Fashion,Titak watch,228.0,4.0,0.4,129.8,13.0,Critical,credit_card
2018-08-16,15:56:36,3.0,54109,Female,Web,Member,Fashion,Fossil Watch,159.0,5.0,0.5,71.1,7.1,Medium,credit_card
2018-07-04,21:54:37,7.0,34486,Male,Web,Member,Fashion,T - Shirts,248.0,1.0,0.5,165.5,16.6,High,credit_card
2018-08-28,16:44:48,7.0,49664,Male,Web,Member,Fashion,Shirts,196.0,2.0,0.5,112.1,11.2,High,credit_card
2018-07-21,16:14:41,1.0,39546,Male,Web,Member,Fashion,Jeans,218.0,1.0,0.5,135.8,13.6,High,credit_card
2018-12-30,18:22:43,5.0,41498,Male,Web,Member,Fashion,Suits,109.0,4.0,0.4,11.6,1.2,Medium,credit_card
2018-05-10,18:27:34,5.0,31391,Male,Web,Member,Fashion,Sports Wear,85.0,4.0,0.3,21.3,2.1,Medium,credit_card
2018-12-27,19:48:12,8.0,39017,Male,Web,Member,Fashion,Casula Shoes,122.0,4.0,0.4,22.5,2.2,Critical,credit_card
2018-05-30,14:33:01,2.0,57732,Female,Web,Member,Fashion,Running Shoes,224.0,4.0,0.4,108.2,10.8,Medium,money_order
2018-06-05,09:43:00,5.0,26006,Female,Web,Member,Fashion,Formal Shoes,213.0,5.0,0.5,122.4,12.2,Medium,money_order
2018-07-19,21:24:55,2.0,13625,Male,Web,Member,Fashion,Sneakers,62.0,5.0,0.5,12.4,1.2,Critical,money_order
2018-07-25,23:51:16,2.0,30943,Male,Web,Member,Fashion,Titak watch,228.0,5.0,0.4,102.4,10.2,High,credit_card
2018-10-01,13:39:16,10.0,38494,Male,Web,Member,Fashion,Fossil Watch,159.0,1.0,0.5,74.2,7.4,High,credit_card
2018-11-28,13:38:01,1.0,37211,Male,Web,Member,Fashion,T - Shirts,248.0,1.0,0.5,130.8,13.1,Medium,credit_card
2018-10-06,12:34:53,10.0,19569,Female,Web,Member,Fashion,Shirts,196.0,4.0,0.3,92.5,9.2,Critical,credit_card
2018-02-20,18:46:25,1.0,57064,Male,Web,Member,Fashion,Jeans,218.0,5.0,0.5,83.5,8.4,Critical,credit_card
2018-10-02,11:27:29,2.0,13825,Male,Web,Member,Fashion,Suits,109.0,1.0,0.5,25.7,2.6,Medium,e_wallet
2018-07-16,12:07:29,5.0,22222,Female,Web,Member,Fashion,Sports Wear,85.0,5.0,0.3,17.0,1.7,Medium,credit_card
2018-10-28,14:06:15,6.0,43291,Female,Web,Member,Fashion,Casula Shoes,122.0,5.0,0.5,35.9,3.6,High,credit_card
2018-10-06,17:17:31,4.0,40208,Male,Web,Member,Fashion,Running Shoes,224.0,5.0,0.5,132.8,13.3,Critical,money_order
2018-07-21,19:55:20,7.0,45043,Male,Web,Member,Fashion,Formal Shoes,213.0,4.0,0.3,107.4,10.7,Medium,credit_card
2018-10-24,13:10:07,5.0,41612,Male,Web,Member,Fashion,Sneakers,62.0,1.0,0.3,62.0,6.2,Medium,credit_card
2018-01-12,15:06:17,4.0,51581,Female,Web,Guest,Fashion,Titak watch,228.0,4.0,0.4,111.5,11.2,Critical,credit_card
2018-06-16,15:32:22,9.0,13494,Male,Web,Member,Fashion,Fossil Watch,159.0,1.0,0.3,74.2,7.4,Medium,money_order
2018-01-10,23:17:10,6.0,55877,Female,Web,Member,Fashion,T - Shirts,248.0,5.0,0.4,143.2,14.3,High,credit_card
2018-02-20,11:54:05,10.0,49712,Female,Web,Member,Fashion,Shirts,196.0,1.0,0.4,112.1,11.2,Critical,credit_card
2018-01-17,09:01:44,8.0,27527,Male,Web,Member,Fashion,Jeans,218.0,5.0,0.4,94.4,9.4,Critical,credit_card
2018-11-23,03:31:57,4.0,22154,Male,Web,Member,Fashion,Suits,109.0,2.0,0.4,20.3,2.0,Critical,debit_card
2018-04-15,13:36:21,9.0,22317,Male,Web,Member,Fashion,Sports Wear,85.0,1.0,0.4,28.3,2.8,Medium,credit_card
2018-08-09,14:39:01,3.0,30142,Male,Web,Member,Fashion,Casula Shoes,122.0,2.0,0.5,29.8,3.0,Critical,money_order
2018-07-28,13:17:15,9.0,25585,Male,Web,Member,Fashion,Running Shoes,224.0,4.0,0.4,108.2,10.8,Critical,credit_card
2018-09-22,15:36:47,1.0,34816,Male,Web,Member,Fashion,Formal Shoes,213.0,2.0,0.4,124.5,12.4,High,credit_card
2018-07-17,17:39:51,9.0,41708,Male,Web,Member,Fashion,Sneakers,62.0,4.0,0.5,15.5,1.6,High,credit_card
2018-12-15,23:08:46,10.0,44168,Male,Web,Member,Fashion,Titak watch,228.0,2.0,0.5,125.2,12.5,Medium,money_order
2018-11-01,14:11:25,3.0,35425,Male,Web,Member,Fashion,Fossil Watch,159.0,4.0,0.3,59.9,6.0,High,credit_card
2018-12-16,10:20:57,9.0,21703,Male,Web,Member,Fashion,T - Shirts,248.0,5.0,0.5,155.6,15.6,Medium,credit_card
2018-12-30,19:20:52,6.0,45239,Female,Web,Member,Fashion,Shirts,196.0,4.0,0.4,84.6,8.5,High,credit_card
2018-06-02,10:51:45,2.0,13326,Male,Web,Member,Fashion,Jeans,218.0,4.0,0.5,129.3,12.9,Critical,credit_card
2018-12-01,19:28:08,7.0,27334,Male,Web,Member,Fashion,Suits,109.0,4.0,0.3,15.9,1.6,High,credit_card
2018-07-17,15:01:30,4.0,51184,Female,Web,Member,Fashion,Sports Wear,85.0,5.0,0.5,0.8,0.1,High,credit_card
2018-10-04,21:50:38,9.0,50774,Male,Web,Member,Fashion,Casula Shoes,122.0,4.0,0.4,32.2,3.2,Medium,credit_card
2018-01-30,17:56:14,8.0,46198,Male,Web,Member,Fashion,Running Shoes,224.0,1.0,0.5,110.4,11.0,High,credit_card
2018-04-08,22:53:22,5.0,42523,Male,Web,Member,Fashion,Formal Shoes,213.0,1.0,0.5,122.4,12.2,Medium,credit_card
2018-05-29,21:46:28,5.0,13253,Male,Web,Member,Fashion,Sneakers,62.0,2.0,0.5,31.0,3.1,Medium,credit_card
2018-06-24,22:10:48,8.0,58445,Male,Web,Member,Fashion,Titak watch,228.0,5.0,0.5,91.0,9.1,High,credit_card
2018-06-01,23:50:59,10.0,42988,Male,Web,Member,Fashion,Fossil Watch,159.0,4.0,0.5,72.6,7.3,High,credit_card
2018-03-08,08:41:48,3.0,54040,Male,Web,Member,Fashion,T - Shirts,248.0,1.0,0.4,153.1,15.3,High,credit_card
2018-09-16,18:51:24,8.0,51027,Male,Web,Member,Fashion,Shirts,196.0,2.0,0.5,112.1,11.2,Critical,credit_card
2018-07-15,20:16:11,8.0,13318,Male,Web,Member,Fashion,Jeans,218.0,2.0,0.4,129.3,12.9,High,money_order
2018-11-07,22:13:41,8.0,19259,Male,Web,Member,Fashion,Suits,109.0,2.0,0.5,26.8,2.7,Critical,credit_card
2018-03-03,21:15:23,7.0,32841,Male,Web,Member,Fashion,Sports Wear,85.0,2.0,0.5,42.5,4.3,Critical,credit_card
2018-06-14,20:05:34,6.0,14232,Male,Web,Member,Fashion,Casula Shoes,122.0,4.0,0.3,27.4,2.7,Critical,credit_card
2018-03-06,14:07:41,9.0,50500,Male,Web,Guest,Fashion,Running Shoes,224.0,1.0,0.5,110.4,11.0,Critical,credit_card
2018-04-12,18:13:17,1.0,21509,Female,Web,Member,Fashion,Formal Shoes,213.0,1.0,0.5,126.6,12.7,Medium,money_order
2018-12-27,15:37:03,7.0,29389,Male,Web,Member,Fashion,Sneakers,62.0,2.0,0.5,31.0,3.1,High,credit_card
2018-09-25,19:02:45,8.0,49875,Male,Web,Member,Fashion,Titak watch,228.0,2.0,0.5,143.4,14.3,Medium,credit_card
2018-05-15,22:05:34,1.0,15066,Male,Web,Member,Fashion,Fossil Watch,159.0,1.0,0.3,74.2,7.4,Critical,credit_card
2018-02-24,15:40:19,9.0,24543,Male,Web,Member,Fashion,T - Shirts,248.0,1.0,0.3,145.7,14.6,High,credit_card
2018-08-13,17:47:24,9.0,48913,Male,Web,Member,Fashion,Shirts,196.0,4.0,0.4,100.3,10.0,Medium,money_order
2018-11-25,00:09:40,3.0,45848,Male,Web,Member,Fashion,Jeans,218.0,5.0,0.5,83.5,8.4,High,credit_card
2018-03-07,15:26:51,3.0,46667,Male,Web,Member,Fashion,Suits,109.0,1.0,0.4,24.6,2.5,High,credit_card
2018-05-30,22:57:07,4.0,12214,Male,Web,Member,Fashion,Sports Wear,85.0,5.0,0.5,0.8,0.1,High,credit_card
2018-11-07,10:52:58,3.0,23135,Male,Web,Member,Fashion,Casula Shoes,122.0,1.0,0.3,38.3,3.8,Critical,credit_card
2018-04-24,22:28:29,2.0,35015,Male,Web,Member,Fashion,Running Shoes,224.0,5.0,0.4,99.2,9.9,High,credit_card
2018-11-02,12:07:08,6.0,39248,Male,Web,Member,Fashion,Formal Shoes,213.0,4.0,0.3,107.4,10.7,High,money_order
2018-03-03,18:15:14,8.0,24031,Male,Web,Member,Fashion,Sneakers,62.0,2.0,0.5,31.0,3.1,Critical,credit_card
2018-10-12,08:37:43,5.0,29638,Female,Web,Member,Fashion,Titak watch,228.0,5.0,0.3,113.8,11.4,Medium,e_wallet
2018-09-28,19:52:09,4.0,44002,Male,Web,Member,Fashion,Fossil Watch,159.0,2.0,0.4,66.3,6.6,Critical,credit_card
2018-08-27,13:31:20,9.0,11192,Male,Web,Member,Fashion,T - Shirts,248.0,4.0,0.3,138.2,13.8,High,credit_card
2018-09-18,19:40:39,3.0,26799,Male,Web,Member,Fashion,Shirts,196.0,2.0,0.4,100.3,10.0,High,credit_card
2018-10-04,15:40:40,2.0,55143,Male,Web,Member,Fashion,Jeans,218.0,1.0,0.4,124.9,12.5,Medium,credit_card
2018-05-16,20:39:33,8.0,36612,Male,Web,Member,Fashion,Suits,109.0,4.0,0.4,20.3,2.0,Critical,credit_card
2018-05-02,09:12:02,7.0,15918,Female,Web,Member,Fashion,Sports Wear,85.0,4.0,0.5,1.6,0.2,Medium,money_order
2018-10-30,17:07:08,5.0,19427,Male,Web,Member,Fashion,Casula Shoes,122.0,5.0,0.4,17.6,1.8,High,credit_card
2018-10-02,21:44:20,8.0,52908,Male,Web,Member,Fashion,Running Shoes,224.0,5.0,0.5,88.0,8.8,Medium,credit_card
